ATT,AWT,AGT_access,AFT,travel_p50,travel_p90,travel_p95,N,N_finished,completion_rate,backlog,system_person_minutes,system_person_minutes_per_passenger,episode_reward,episode_steps,policy_entropy_normalized,mean_policy_max_prob,action_0_share,action_1_share,single_pax_service_departures,turnaround_starts,turnaround_releases,pad_departure_reservations,pad_landing_reservations,service_pad_blocks,reposition_pad_blocks,e6_charger_active_aircraft_steps,e6_charger_wait_aircraft_steps,e6_max_charger_queue,final_queues,fleet_diag,stage,topology,method,eval_seed
74.40666666666667,45.84,7.31,21.333333333333332,63.5,118.30000000000007,199.0,300,300,1.0,0,22322.0,74.40666666666667,-31653.862459641423,601,nan,nan,0.7920133111480865,0.2079866888519135,300,0,0,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 16, ""1"": 21, ""2"": 3}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 297, ""reposition_arrivals"": 297, ""fleet_assertions"": 603}",E3,T2,STTF,124
74.41666666666667,45.85,7.31,21.333333333333332,63.5,118.30000000000007,199.0,300,300,1.0,0,22325.0,74.41666666666667,-31638.759366642455,601,nan,nan,0.7920133111480865,0.2079866888519135,300,0,0,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 16, ""1"": 21, ""2"": 3}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 297, ""reposition_arrivals"": 297, ""fleet_assertions"": 603}",E3,T2,STTF,125
61.083333333333336,35.166666666666664,6.42,19.56,60.0,83.0,85.0,300,300,1.0,0,18325.0,61.083333333333336,-28184.36919342649,601,nan,nan,0.5707154742096506,0.4292845257903494,300,0,0,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 23, ""1"": 13, ""2"": 4}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 296, ""reposition_arrivals"": 296, ""fleet_assertions"": 603}",E3,T2,QTTI2,123
61.07333333333333,35.156666666666666,6.42,19.56,60.0,83.0,85.0,300,300,1.0,0,18322.0,61.07333333333333,-28201.088207043234,601,nan,nan,0.5707154742096506,0.4292845257903494,300,0,0,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 23, ""1"": 13, ""2"": 4}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 296, ""reposition_arrivals"": 296, ""fleet_assertions"": 603}",E3,T2,QTTI2,124
60.776666666666664,34.88666666666666,6.406666666666666,19.546666666666667,60.0,84.0,85.05000000000001,300,300,1.0,0,18233.0,60.776666666666664,-28225.424528421827,601,nan,nan,0.5690515806988353,0.43094841930116473,300,0,0,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 24, ""1"": 13, ""2"": 3}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 297, ""reposition_arrivals"": 297, ""fleet_assertions"": 603}",E3,T2,QTTI2,125
97.81666666666666,71.97333333333333,5.633333333333334,20.293333333333333,94.5,165.0,179.05,300,300,1.0,0,29345.0,97.81666666666666,-41229.8130024724,601,nan,nan,0.6622296173044925,0.33777038269550747,300,594,594,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 22, ""1"": 12, ""2"": 6}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 294, ""reposition_arrivals"": 294, ""fleet_assertions"": 603}",E4,T2,SPF,123
97.81666666666666,71.97333333333333,5.633333333333334,20.293333333333333,94.5,165.0,179.05,300,300,1.0,0,29345.0,97.81666666666666,-41229.8130024724,601,nan,nan,0.6622296173044925,0.33777038269550747,300,594,594,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""1"": 12, ""0"": 22, ""2"": 6}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 294, ""reposition_arrivals"": 294, ""fleet_assertions"": 603}",E4,T2,SPF,124
97.81666666666666,71.97333333333333,5.633333333333334,20.293333333333333,94.5,165.0,179.05,300,300,1.0,0,29345.0,97.81666666666666,-41229.8130024724,601,nan,nan,0.6622296173044925,0.33777038269550747,300,594,594,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""1"": 12, ""0"": 22, ""2"": 6}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 294, ""reposition_arrivals"": 294, ""fleet_assertions"": 603}",E4,T2,SPF,125
92.35333333333334,63.083333333333336,7.653333333333333,21.69333333333333,84.0,178.10000000000002,263.0,300,300,1.0,0,27706.0,92.35333333333334,-35903.77576956801,601,nan,nan,0.8369384359400999,0.16306156405990016,300,592,592,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 28, ""2"": 8, ""1"": 4}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 292, ""reposition_arrivals"": 292, ""fleet_assertions"": 603}",E4,T2,STTF,123
92.34,63.07,7.653333333333333,21.69333333333333,84.0,178.10000000000002,263.0,300,300,1.0,0,27702.0,92.34,-35916.771450389795,601,nan,nan,0.8369384359400999,0.16306156405990016,300,592,592,0,0,0,0,0,0,0,"{""0"": 0, ""1"": 0, ""2"": 0}","{""fleet_size"": 40, ""initial_allocation"": {""0"": 30, ""1"": 10}, ""state_counts"": {""IDLE"": 40}, ""current_location_counts"": {""0"": 28, ""2"": 8, ""1"": 4}, ""spawned_at_reset"": 40, ""service_arrivals"": 300, ""reposition_departures"": 292, ""reposition_arrivals"": 292, ""fleet_assertions"": 603}",E4,T2,STTF,124
